"codigo";"descripcion";"porcentaje";"recargo";"TipoIva"
"1";"I.V.A. 21%";"21";"0";"IVA"
"2";"IVA 4%";"4";"0";"IVA"
"3";"IVA 10%";"10";"0";"IVA"
"4";"EXENTO";"0";"0";"IVA"
"5";"IVA 21% B.I.";"21";"0";"BIEN DE INVERSION"
"6";"VIAJES";"0";"0";"IVA"
"7";"IVA 21% ISP";"21";"0";"IVA"
"9";"IVA 21% INTRACO";"21";"0";"IVA"
"11";"IVA 16%";"16";"0";"IVA"
"13";"IVA 7%";"7";"0";"IVA"
"15";"IVA BI";"16";"0";"BIEN DE INVERSION"
"17";"INV.SUJETO PASI";"16";"0";"IVA"
"19";"INTRACOMUNITARI";"16";"0";"IVA"
"20";"INTRA PRUEBA";"18";"0";"IVA"
"21";"IVA 18%";"18";"0";"IVA"
"23";"IVA 8%";"8";"0";"IVA"
"25";"IVA BI";"18";"0";"BIEN DE INVERSION"
"27";"INV.SUJETO PASI";"18";"0";"IVA"
"29";"INTRACOMUNITARI";"18";"0";"IVA"
